epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.356,1.13469,1.43217,1.23582,0.64842,0.52239,0.61209,0.45235,1.08268,1.12601,1.12907,8.33e-06,8.33e-06,8.33e-06
2,204.765,1.109,1.3399,1.23705,0.67421,0.55151,0.62799,0.46699,1.07526,1.0947,1.12259,1.76733e-05,1.76733e-05,1.76733e-05
